config,week,n,auc,rank_ic
A+B,2025-05-29/2025-06-04,168,0.6001280045512729,0.17475277785472856
A+B,2025-06-05/2025-06-11,168,0.553988603988604,0.09409504755801612
A+B,2025-06-12/2025-06-18,168,0.5224775224775224,0.03883327252503956
A+B,2025-06-19/2025-06-25,168,0.5427356484762579,0.07402012710073783
A+B,2025-06-26/2025-07-02,168,0.49178004535147396,-0.015489036598092561
A+B,2025-07-03/2025-07-09,168,0.5770871853221449,0.1332850445352793
A+B,2025-07-10/2025-07-16,168,0.46107954545454544,-0.06733696579541358
A+B,2025-07-17/2025-07-23,168,0.5680657969370391,0.11786208530829843
A+B,2025-07-24/2025-07-30,168,0.6194188518781008,0.2068287871341512
A+B,2025-07-31/2025-08-06,168,0.5371138443935927,0.06399208152787592
A+B,2025-08-07/2025-08-13,168,0.5189096617668046,0.032639171740078646
A+B,2025-08-14/2025-08-20,168,0.5902667627974043,0.15500330559068712
A+B,2025-08-21/2025-08-27,168,0.5309132161089053,0.053529030410852205
A+B,2025-08-28/2025-09-03,168,0.5912119064493266,0.15797525946458174
A+B,2025-09-04/2025-09-10,168,0.5677419354838709,0.11665913234094716
